sale_id,appointment_id,patient_id,branch_id,sale_date,product_id,product_name,category,quantity,unit_price_gbp,discount_pct,total_gbp,payment_method
SL00001,AP00003,PT0413,BR03,2024-01-01,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00002,AP00004,PT0728,BR02,2024-01-01,PR02,Varifocal Lenses,Lenses,2,120.0,15,204.0,Cash
SL00003,AP00004,PT0728,BR02,2024-01-01,PR06,Standard Frames,Frames,2,60.0,15,102.0,Finance
SL00004,AP00005,PT0781,BR03,2024-01-01,PR02,Varifocal Lenses,Lenses,2,120.0,15,204.0,Finance
SL00005,AP00005,PT0781,BR03,2024-01-01,PR07,Kids Frames,Frames,2,40.0,5,76.0,Cash
SL00006,AP00007,PT0157,BR01,2024-01-01,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00007,AP00007,PT0157,BR01,2024-01-01,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Cash
SL00008,AP00007,PT0157,BR01,2024-01-01,PR06,Standard Frames,Frames,1,60.0,0,60.0,Finance
SL00009,AP00012,PT0643,BR01,2024-01-01,PR03,Bifocal Lenses,Lenses,2,85.0,10,153.0,Card
SL00010,AP00012,PT0643,BR01,2024-01-01,PR01,Single Vision Lenses,Lenses,1,45.0,10,40.5,Card
SL00011,AP00013,PT0114,BR04,2024-01-01,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Cash
SL00012,AP00014,PT0290,BR03,2024-01-01,PR07,Kids Frames,Frames,2,40.0,10,72.0,Cash
SL00013,AP00014,PT0290,BR03,2024-01-01,PR08,Contact Lenses Monthly,Contacts,1,25.0,0,25.0,Card
SL00014,AP00014,PT0290,BR03,2024-01-01,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Finance
SL00015,AP00015,PT0371,BR02,2024-01-01,PR12,Sunglasses,Sunglasses,2,95.0,10,171.0,Card
SL00016,AP00016,PT0424,BR01,2024-01-01,PR03,Bifocal Lenses,Lenses,2,85.0,15,144.5,Card
SL00017,AP00020,PT0356,BR04,2024-01-01,PR05,Designer Frames,Frames,1,180.0,0,180.0,Cash
SL00018,AP00023,PT0222,BR03,2024-01-01,PR06,Standard Frames,Frames,1,60.0,0,60.0,Card
SL00019,AP00025,PT0281,BR04,2024-01-02,PR09,Contact Lenses Daily,Contacts,2,35.0,0,70.0,Finance
SL00020,AP00025,PT0281,BR04,2024-01-02,PR10,Eye Drops,Accessories,2,12.0,10,21.6,Finance
SL00021,AP00027,PT0525,BR04,2024-01-02,PR10,Eye Drops,Accessories,2,12.0,15,20.4,Finance
SL00022,AP00031,PT0638,BR01,2024-01-02,PR04,Blue Light Lenses,Lenses,2,65.0,10,117.0,Card
SL00023,AP00034,PT0301,BR05,2024-01-02,PR02,Varifocal Lenses,Lenses,1,120.0,10,108.0,Card
SL00024,AP00034,PT0301,BR05,2024-01-02,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Cash
SL00025,AP00035,PT0361,BR04,2024-01-02,PR02,Varifocal Lenses,Lenses,1,120.0,10,108.0,Card
SL00026,AP00035,PT0361,BR04,2024-01-02,PR05,Designer Frames,Frames,1,180.0,0,180.0,Card
SL00027,AP00035,PT0361,BR04,2024-01-02,PR09,Contact Lenses Daily,Contacts,1,35.0,5,33.25,Card
SL00028,AP00036,PT0440,BR02,2024-01-02,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00029,AP00036,PT0440,BR02,2024-01-02,PR04,Blue Light Lenses,Lenses,1,65.0,15,55.25,Card
SL00030,AP00037,PT0381,BR02,2024-01-02,PR01,Single Vision Lenses,Lenses,1,45.0,5,42.75,Cash
SL00031,AP00037,PT0381,BR02,2024-01-02,PR10,Eye Drops,Accessories,1,12.0,15,10.2,Cash
SL00032,AP00038,PT0705,BR01,2024-01-02,PR01,Single Vision Lenses,Lenses,2,45.0,0,90.0,Card
SL00033,AP00039,PT0330,BR02,2024-01-02,PR08,Contact Lenses Monthly,Contacts,2,25.0,5,47.5,Cash
SL00034,AP00040,PT0218,BR05,2024-01-02,PR02,Varifocal Lenses,Lenses,2,120.0,0,240.0,Card
SL00035,AP00040,PT0218,BR05,2024-01-02,PR02,Varifocal Lenses,Lenses,1,120.0,0,120.0,Finance
SL00036,AP00041,PT0688,BR01,2024-01-02,PR01,Single Vision Lenses,Lenses,2,45.0,5,85.5,Card
SL00037,AP00042,PT0326,BR03,2024-01-02,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Cash
SL00038,AP00044,PT0464,BR02,2024-01-02,PR03,Bifocal Lenses,Lenses,1,85.0,10,76.5,Card
SL00039,AP00044,PT0464,BR02,2024-01-02,PR04,Blue Light Lenses,Lenses,2,65.0,0,130.0,Card
SL00040,AP00047,PT0038,BR05,2024-01-02,PR05,Designer Frames,Frames,1,180.0,15,153.0,Cash
SL00041,AP00049,PT0282,BR03,2024-01-02,PR11,Lens Cleaning Kit,Accessories,2,8.0,0,16.0,Cash
SL00042,AP00050,PT0794,BR03,2024-01-02,PR12,Sunglasses,Sunglasses,2,95.0,0,190.0,Card
SL00043,AP00050,PT0794,BR03,2024-01-02,PR06,Standard Frames,Frames,2,60.0,0,120.0,Card
SL00044,AP00050,PT0794,BR03,2024-01-02,PR04,Blue Light Lenses,Lenses,2,65.0,15,110.5,Cash
SL00045,AP00052,PT0030,BR02,2024-01-03,PR11,Lens Cleaning Kit,Accessories,1,8.0,5,7.6,Card
